dataset,protocol,fold,zone,regime,model,blend_weight_mlp,cal_objective,spike_threshold,mae,rmse,smape,n,local_rmse,local_mae,rmse_improvement_pct,mae_improvement_pct
OPSD,rolling_origin,R2,DK_2,non_spike,Rolling GraphPatch blend,0.7000000000000001,5.807775285394367,16.880000000000003,2.0044112417678885,3.301180908181316,6.308547890758451,4424,3.860729668985934,2.48052592880805,14.493342160151554,19.194102408312485
OPSD,rolling_origin,R3,DK_2,all,Local ridge,,,17.972999999999992,2.572167811577596,4.056243223906687,10.29963207800951,5021,4.056243223906687,2.572167811577596,0.0,0.0
OPSD,rolling_origin,R3,DK_2,all,Rolling GraphPatch blend,0.7000000000000001,5.0520548523877915,17.972999999999992,2.1553673839904173,3.475535518713381,9.23119417679458,5021,4.056243223906687,2.572167811577596,14.316392611042925,16.20424708337911
OPSD,rolling_origin,R3,DK_2,spike,Local ridge,,,17.972999999999992,4.140478301535709,5.918269470885353,22.18767664272553,609,5.918269470885353,4.140478301535709,0.0,0.0
OPSD,rolling_origin,R3,DK_2,spike,Rolling GraphPatch blend,0.7000000000000001,5.0520548523877915,17.972999999999992,3.4956682715253993,5.169579192022133,19.989611342088967,609,5.918269470885353,4.140478301535709,12.650493231955165,15.573322284315532
OPSD,rolling_origin,R3,DK_2,non_spike,Local ridge,,,17.972999999999992,2.355689777038954,3.726856033571118,8.658693922997712,4412,3.726856033571118,2.355689777038954,0.0,0.0
OPSD,rolling_origin,R3,DK_2,non_spike,Rolling GraphPatch blend,0.7000000000000001,5.0520548523877915,17.972999999999992,1.9703621164226923,3.171408407694982,7.746181471974934,4412,3.726856033571118,2.355689777038954,14.903919573837138,16.357317689794
OPSD,rolling_origin,R1,GB_GBN,all,Local ridge,,,16.97,4.835669165506629,6.621861166422105,7.896231611792954,5008,6.621861166422105,4.835669165506629,0.0,0.0
OPSD,rolling_origin,R1,GB_GBN,all,Rolling GraphPatch blend,0.4,7.307270695371116,16.97,4.135289629874891,5.697181124161574,6.669848202374061,5008,6.621861166422105,4.835669165506629,13.964050574623425,14.483611505675858
OPSD,rolling_origin,R1,GB_GBN,spike,Local ridge,,,16.97,7.241067243519629,9.534850419771834,11.016801732642016,536,9.534850419771834,7.241067243519629,0.0,0.0
OPSD,rolling_origin,R1,GB_GBN,spike,Rolling GraphPatch blend,0.4,7.307270695371116,16.97,6.342091925753178,8.454937878554988,9.584518422118709,536,9.534850419771834,7.241067243519629,11.325951574211352,12.414956076688638
OPSD,rolling_origin,R1,GB_GBN,non_spike,Local ridge,,,16.97,4.5473656391616,6.181266985332678,7.522209790510509,4472,6.181266985332678,4.5473656391616,0.0,0.0
OPSD,rolling_origin,R1,GB_GBN,non_spike,Rolling GraphPatch blend,0.4,7.307270695371116,16.97,3.870789175807189,5.270681736390966,6.32050490233311,4472,6.181266985332678,4.5473656391616,14.731369007396205,14.878426698917306
OPSD,rolling_origin,R2,GB_GBN,all,Local ridge,,,17.08,3.317132165933539,4.561349684277625,7.473909551698537,5008,4.561349684277625,3.317132165933539,0.0,0.0
OPSD,rolling_origin,R2,GB_GBN,all,Rolling GraphPatch blend,0.1,6.904004206054002,17.08,3.171191841178821,4.297160633234183,7.170268633076514,5008,4.561349684277625,3.317132165933539,5.791905232656609,4.39959330693855
OPSD,rolling_origin,R2,GB_GBN,spike,Local ridge,,,17.08,5.9957086637380215,7.477098069290355,12.079846861900798,279,7.477098069290355,5.9957086637380215,0.0,0.0
OPSD,rolling_origin,R2,GB_GBN,spike,Rolling GraphPatch blend,0.1,6.904004206054002,17.08,5.7605458378633925,7.310819770636026,11.388136460685077,279,7.477098069290355,5.9957086637380215,2.2238346630394044,3.9221856675073474
OPSD,rolling_origin,R2,GB_GBN,non_spike,Local ridge,,,17.08,3.159102383127988,4.328397925192935,7.202169964143784,4729,4.328397925192935,3.159102383127988,0.0,0.0
OPSD,rolling_origin,R2,GB_GBN,non_spike,Rolling GraphPatch blend,0.1,6.904004206054002,17.08,3.0184259784012792,4.049901678216387,6.92142424231678,4729,4.328397925192935,3.159102383127988,6.434164598305374,4.453049875117303
OPSD,rolling_origin,R3,GB_GBN,all,Local ridge,,,17.126000000000026,3.1730994570781452,4.274178710641012,9.818738730289489,5008,4.274178710641012,3.1730994570781452,0.0,0.0
OPSD,rolling_origin,R3,GB_GBN,all,Rolling GraphPatch blend,0.5,4.986639231946376,17.126000000000026,2.9893549015150302,3.9876360406031575,9.354444131592025,5008,4.274178710641012,3.1730994570781452,6.704040458684533,5.790696385303685
OPSD,rolling_origin,R3,GB_GBN,spike,Local ridge,,,17.126000000000026,5.8209372212104835,7.127060928732605,24.08419231617504,275,7.127060928732605,5.8209372212104835,0.0,0.0
OPSD,rolling_origin,R3,GB_GBN,spike,Rolling GraphPatch blend,0.5,4.986639231946376,17.126000000000026,4.715756432528386,6.117116814856558,20.53175220770907,275,7.127060928732605,5.8209372212104835,14.17055535198917,18.986303179065573
OPSD,rolling_origin,R3,GB_GBN,non_spike,Local ridge,,,17.126000000000026,3.019252978071935,4.047064725356696,8.989877598635458,4733,4.047064725356696,3.019252978071935,0.0,0.0
OPSD,rolling_origin,R3,GB_GBN,non_spike,Rolling GraphPatch blend,0.5,4.986639231946376,17.126000000000026,2.88904634013141,3.8276617932863335,8.705012540437961,4733,4.047064725356696,3.019252978071935,5.421285473783107,4.312544821059458
OPSD,zone_holdout,holdout_DE_LU,DE_LU,all,Local ridge,,,24.38000000000001,3.2166595234854003,5.561837448746384,14.916028603851112,3471,5.561837448746384,3.2166595234854003,0.0,0.0
OPSD,zone_holdout,holdout_DE_LU,DE_LU,all,LOZO GraphPatch blend,0.0,6.0086212145056015,24.38000000000001,3.0316054608710115,5.401346482214589,14.403448581216317,3471,5.561837448746384,3.2166595234854003,2.885574560759024,5.7529888153619115
OPSD,zone_holdout,holdout_DE_LU,DE_LU,spike,Local ridge,,,24.38000000000001,7.127301095353007,13.129384977997919,37.7081493421061,251,13.129384977997919,7.127301095353007,0.0,0.0
OPSD,zone_holdout,holdout_DE_LU,DE_LU,spike,LOZO GraphPatch blend,0.0,6.0086212145056015,24.38000000000001,6.902679512515903,13.255883829430411,37.02768488947582,251,13.129384977997919,7.127301095353007,-0.9634788807280591,3.151565786712137
OPSD,zone_holdout,holdout_DE_LU,DE_LU,non_spike,Local ridge,,,24.38000000000001,2.9118237984733604,4.461862897387577,13.13937571400577,3220,4.461862897387577,2.9118237984733604,0.0,0.0
OPSD,zone_holdout,holdout_DE_LU,DE_LU,non_spike,LOZO GraphPatch blend,0.0,6.0086212145056015,24.38000000000001,2.7298540363483816,4.2132410740779,12.639882334827146,3220,4.461862897387577,2.9118237984733604,5.572152910732524,6.249339751271475
OPSD,zone_holdout,holdout_DK_1,DK_1,all,Local ridge,,,16.91,3.079688814846483,5.0172018461753085,18.673776546978278,10043,5.0172018461753085,3.079688814846483,0.0,0.0
OPSD,zone_holdout,holdout_DK_1,DK_1,all,LOZO GraphPatch blend,0.4,5.435534082670109,16.91,2.831360595900074,4.636322404112377,18.39003346577534,10043,5.0172018461753085,3.079688814846483,7.591471376685427,8.063419191876632
OPSD,zone_holdout,holdout_DK_1,DK_1,spike,Local ridge,,,16.91,4.667040142368617,7.496485136836957,30.353610887104924,1718,7.496485136836957,4.667040142368617,0.0,0.0
OPSD,zone_holdout,holdout_DK_1,DK_1,spike,LOZO GraphPatch blend,0.4,5.435534082670109,16.91,4.193080598223186,7.000292845126456,27.982067393776866,1718,7.496485136836957,4.667040142368617,6.618999206338221,10.155463199099195
OPSD,zone_holdout,holdout_DK_1,DK_1,non_spike,Local ridge,,,16.91,2.7521128892389126,4.332413068871958,16.263451574445238,8325,4.332413068871958,2.7521128892389126,0.0,0.0
