seed,dataset,target_client,model,protocol,adapt_days,mae,rmse,smape,n
20260716,UCI Electricity Load Diagrams 2011-2014,MT_360,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,29.84337818974632,44.08878152401595,7.162005170049779,2208
20260717,UCI Electricity Load Diagrams 2011-2014,MT_355,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,32.13647183478335,54.57566663927267,6.382843187746517,2208
20260717,UCI Electricity Load Diagrams 2011-2014,MT_355,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,31.678683134785196,53.982584393730534,6.543954263410215,2208
20260717,UCI Electricity Load Diagrams 2011-2014,MT_166,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,55.970966163056026,77.94645485474891,4.9826737483217745,2208
20260717,UCI Electricity Load Diagrams 2011-2014,MT_166,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,56.50820738607759,78.1912946664219,5.104558644232491,2208
20260717,UCI Electricity Load Diagrams 2011-2014,MT_163,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,92.36895886899701,134.24779164921176,4.0003242037959446,2208
20260717,UCI Electricity Load Diagrams 2011-2014,MT_163,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,90.83649801371348,132.42655832577194,3.93826052227982,2208
20260717,UCI Electricity Load Diagrams 2011-2014,MT_101,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,26.251488638828697,44.43568354379717,5.652004082465153,2208
20260717,UCI Electricity Load Diagrams 2011-2014,MT_101,TDConv-ridge+adapter-28d,source-subsampled trainable TDConv with 28d target adapter,28,26.19648636492151,44.13979467704429,5.803428698540278,2208
20260717,UCI Electricity Load Diagrams 2011-2014,MT_218,TDConv-ridge-source-head,source-subsampled trainable TDConv source head,0,41.16237611876013,62.98188914856579,3.8778410117862663,2208
