dataset,zone,date,capacity_mwh,method,revenue,hindsight_revenue,regret,battery_revenue,flex_value,imbalance_penalty,negative_revenue
OPSD,DK_1,2019-03-22,1.0,Prev-day FTO,-5.4724497391623395,13.474173913043476,18.946623652205815,2.414208695652178,5.621999999999998,13.508658434814516,1
OPSD,DK_1,2019-03-22,1.0,Rolling-28d mean FTO,-0.9909030932778498,13.474173913043476,14.465077006321327,2.1251869565217376,5.341499999999997,8.457590049799585,1
OPSD,DK_1,2019-03-22,1.0,Robust quantile FTO,-2.324598789686804,13.474173913043476,15.798772702730279,0.26359130434782685,4.106999999999999,6.69519009403463,1
OPSD,DK_1,2019-03-22,1.0,Hindsight optimum,13.474173913043476,13.474173913043476,0.0,5.8151739130434805,7.658999999999995,0.0,0
OPSD,DK_1,2019-03-23,1.0,Prev-day FTO,-9.761118581822108,11.569930434782606,21.331049016604716,-0.2712217391304321,3.4125,12.902396842691676,1
OPSD,DK_1,2019-03-23,1.0,Rolling-28d mean FTO,-3.434693971511777,11.569930434782606,15.004624406294383,-1.0554043478260837,3.0135000000000005,5.392789623685694,1
OPSD,DK_1,2019-03-23,1.0,Robust quantile FTO,-5.160237954424866,11.569930434782606,16.73016838920747,-2.349613043478257,2.335499999999999,5.146124910946607,1
OPSD,DK_1,2019-03-23,1.0,Hindsight optimum,11.569930434782606,11.569930434782606,0.0,5.0809304347826085,6.488999999999998,0.0,0
OPSD,DK_1,2019-03-24,1.0,Prev-day FTO,11.996062941733628,18.13291304347826,6.136850101744633,7.044556521739132,7.428000000000001,2.476493580005504,0
OPSD,DK_1,2019-03-24,1.0,Rolling-28d mean FTO,-6.789886502095308,18.13291304347826,24.922799545573568,-3.1179304347826076,1.7219999999999984,5.393956067312699,1
OPSD,DK_1,2019-03-24,1.0,Robust quantile FTO,-2.457902048573696,18.13291304347826,20.590815092051958,0.09420869565217771,3.558,6.1101107442258735,1
OPSD,DK_1,2019-03-24,1.0,Hindsight optimum,18.13291304347826,18.13291304347826,0.0,9.37141304347826,8.7615,0.0,0
OPSD,DK_1,2019-03-25,1.0,Prev-day FTO,1.1266558544433654,27.495808695652173,26.36915284120881,5.3493173913043535,6.850500000000002,11.07316153686099,0
OPSD,DK_1,2019-03-25,1.0,Rolling-28d mean FTO,21.76998557568156,27.495808695652173,5.725823119970613,13.70010869565218,11.3295,3.259623119970621,0
OPSD,DK_1,2019-03-25,1.0,Robust quantile FTO,17.286721348260617,27.495808695652173,10.209087347391556,11.257595652173919,10.054499999999999,4.025374303913299,0
OPSD,DK_1,2019-03-25,1.0,Hindsight optimum,27.495808695652173,27.495808695652173,0.0,15.192808695652175,12.302999999999999,0.0,0
OPSD,DK_1,2019-03-26,1.0,Prev-day FTO,10.905201843455773,18.240139130434784,7.334937286979011,8.797439130434782,9.0285,6.92073728697901,0
OPSD,DK_1,2019-03-26,1.0,Rolling-28d mean FTO,8.91331261178079,18.240139130434784,9.326826518653993,8.217839130434783,8.650499999999997,7.955026518653989,0
OPSD,DK_1,2019-03-26,1.0,Robust quantile FTO,7.33935225286826,18.240139130434784,10.900786877566524,6.427078260869564,7.661999999999997,6.749726008001301,0
OPSD,DK_1,2019-03-26,1.0,Hindsight optimum,18.240139130434784,18.240139130434784,0.0,9.048139130434784,9.192,0.0,0
OPSD,DK_1,2019-03-27,1.0,Prev-day FTO,3.942870264895964,13.18806956521739,9.245199300321426,3.6598521739130447,6.104999999999998,5.821981909017078,0
OPSD,DK_1,2019-03-27,1.0,Rolling-28d mean FTO,7.385327015582584,13.18806956521739,5.8027425496348055,3.7219521739130457,6.145499999999999,2.4821251583304598,0
OPSD,DK_1,2019-03-27,1.0,Robust quantile FTO,8.378039943006382,13.18806956521739,4.810029622211008,4.105104347826085,6.356999999999999,2.0840644048197023,0
OPSD,DK_1,2019-03-27,1.0,Hindsight optimum,13.18806956521739,13.18806956521739,0.0,5.766069565217393,7.421999999999998,0.0,0
OPSD,DK_1,2019-03-28,1.0,Prev-day FTO,9.966939449029393,19.277695652173925,9.310756203144532,7.94473913043479,8.967,6.944799681405397,0
OPSD,DK_1,2019-03-28,1.0,Rolling-28d mean FTO,14.294778260993246,19.277695652173925,4.9829173911806794,8.473295652173917,9.159,3.3375173911806706,0
OPSD,DK_1,2019-03-28,1.0,Robust quantile FTO,12.155808287586945,19.277695652173925,7.12188736458698,6.799382608695659,8.235000000000001,2.878574321108715,0
OPSD,DK_1,2019-03-28,1.0,Hindsight optimum,19.277695652173925,19.277695652173925,0.0,9.469195652173923,9.808500000000002,0.0,0
OPSD,DK_1,2019-03-29,1.0,Prev-day FTO,-5.790561660808604,9.21113043478261,15.001692095591213,-0.04219999999999402,3.729000000000002,9.477361660808612,1
OPSD,DK_1,2019-03-29,1.0,Rolling-28d mean FTO,0.038742838029737214,9.21113043478261,9.172387596752873,-0.007699999999999818,3.7514999999999983,3.7050571619702612,0
